user_id,trajectory_id,latitude,longitude,altitude_m,timestamp,hour,day,weekday,month,is_weekend,time_of_day,step_distance_m,step_time_sec,instant_speed_kmh,grid_lat,grid_lon,grid_cell_id,total_distance_m,avg_speed_kmh,max_speed_kmh,duration_minutes,locations_visited_count,start_time,end_time,user_grid_visit_count
User_001,TRJ_User_001_001,28.632005,77.219091,209.4,2026-04-02 09:00:28,9,2,3,4,0,Morning,0.0,0.0,0.0,28.63,77.22,GRID_28.63_77.22,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,12
User_001,TRJ_User_001_001,28.630724,77.220915,220.0,2026-04-02 09:01:17,9,2,3,4,0,Morning,227.99143490834814,49.0,16.75,28.63,77.22,GRID_28.63_77.22,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,12
User_001,TRJ_User_001_001,28.629248,77.222902,211.0,2026-04-02 09:01:38,9,2,3,4,0,Morning,254.05792018808953,21.0,43.55,28.63,77.22,GRID_28.63_77.22,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,12
User_001,TRJ_User_001_001,28.628013,77.224927,224.0,2026-04-02 09:02:15,9,2,3,4,0,Morning,240.666659888083,37.0,23.42,28.63,77.22,GRID_28.63_77.22,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,12
User_001,TRJ_User_001_001,28.626858,77.226816,222.9,2026-04-02 09:02:27,9,2,3,4,0,Morning,224.69199328957117,12.0,67.41,28.63,77.23,GRID_28.63_77.23,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,13
User_001,TRJ_User_001_001,28.625781,77.229345,227.0,2026-04-02 09:02:54,9,2,3,4,0,Morning,274.35461533377213,27.0,36.58,28.63,77.23,GRID_28.63_77.23,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,13
User_001,TRJ_User_001_001,28.624297,77.231921,205.9,2026-04-02 09:03:23,9,2,3,4,0,Morning,300.7413291281912,29.0,37.33,28.62,77.23,GRID_28.62_77.23,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,8
User_001,TRJ_User_001_001,28.623365,77.233676,236.6,2026-04-02 09:03:40,9,2,3,4,0,Morning,200.20635887150928,17.0,42.4,28.62,77.23,GRID_28.62_77.23,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,8
User_001,TRJ_User_001_001,28.62245,77.235384,218.7,2026-04-02 09:03:55,9,2,3,4,0,Morning,195.3055647873866,15.0,46.87,28.62,77.24,GRID_28.62_77.24,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,18
User_001,TRJ_User_001_001,28.621335,77.237023,201.9,2026-04-02 09:04:22,9,2,3,4,0,Morning,202.39686902584526,27.0,26.99,28.62,77.24,GRID_28.62_77.24,12672.575157839567,32.4814,70.11,27.5,18,2026-04-02 09:00:28,2026-04-02 09:27:58,18
