user_id,trajectory_id,latitude,longitude,altitude_m,timestamp,hour,day,weekday,month,is_weekend,time_of_day,nearest_poi_name,nearest_poi_category,nearest_poi_dist_m,poi_density_500m,has_hospital_1km,has_transit_500m
User_001,TRJ_User_001_001,28.632005,77.219091,209.4,2026-04-02 09:00:28,9,2,3,4,0,Morning,West Delhi Market 181,Market,3048.1,0,0,0
User_001,TRJ_User_001_001,28.630724,77.220915,220.0,2026-04-02 09:01:17,9,2,3,4,0,Morning,West Delhi Market 181,Market,2821.1,0,0,0
User_001,TRJ_User_001_001,28.629248,77.222902,211.0,2026-04-02 09:01:38,9,2,3,4,0,Morning,West Delhi Market 181,Market,2569.3,0,0,0
User_001,TRJ_User_001_001,28.628013,77.224927,224.0,2026-04-02 09:02:15,9,2,3,4,0,Morning,West Delhi Market 181,Market,2328.9,0,0,0
User_001,TRJ_User_001_001,28.626858,77.226816,222.9,2026-04-02 09:02:27,9,2,3,4,0,Morning,West Delhi Market 181,Market,2104.5,0,0,0
User_001,TRJ_User_001_001,28.625781,77.229345,227.0,2026-04-02 09:02:54,9,2,3,4,0,Morning,West Delhi Market 181,Market,1831.8,0,0,0
User_001,TRJ_User_001_001,28.624297,77.231921,205.9,2026-04-02 09:03:23,9,2,3,4,0,Morning,West Delhi Market 181,Market,1531.1,0,0,0
User_001,TRJ_User_001_001,28.623365,77.233676,236.6,2026-04-02 09:03:40,9,2,3,4,0,Morning,West Delhi Market 181,Market,1330.9,0,0,0
User_001,TRJ_User_001_001,28.62245,77.235384,218.7,2026-04-02 09:03:55,9,2,3,4,0,Morning,West Delhi Market 181,Market,1135.7,0,0,0
User_001,TRJ_User_001_001,28.621335,77.237023,201.9,2026-04-02 09:04:22,9,2,3,4,0,Morning,West Delhi Market 181,Market,934.2,0,0,0
User_001,TRJ_User_001_001,28.620179,77.239572,255.3,2026-04-02 09:04:39,9,2,3,4,0,Morning,West Delhi Market 181,Market,655.4,0,0,0
User_001,TRJ_User_001_001,28.619249,77.242831,257.7,2026-04-02 09:05:09,9,2,3,4,0,Morning,West Delhi Market 181,Market,345.7,1,0,0
User_001,TRJ_User_001_001,28.617414,77.244739,249.7,2026-04-02 09:05:44,9,2,3,4,0,Morning,West Delhi Market 181,Market,69.9,1,0,0
User_001,TRJ_User_001_001,28.616209,77.247103,216.6,2026-04-02 09:06:22,9,2,3,4,0,Morning,West Delhi Market 181,Market,205.4,1,0,0
User_001,TRJ_User_001_001,28.615198,77.249655,243.7,2026-04-02 09:07:04,9,2,3,4,0,Morning,West Delhi Market 181,Market,478.6,1,0,0
User_001,TRJ_User_001_001,28.614234,77.25192,239.1,2026-04-02 09:07:41,9,2,3,4,0,Morning,West Delhi Market 181,Market,724.2,0,0,0
User_001,TRJ_User_001_001,28.613122,77.254507,219.9,2026-04-02 09:08:38,9,2,3,4,0,Morning,West Delhi Market 181,Market,1005.2,0,0,0
