user_id,trajectory_id,latitude,longitude,altitude_m,timestamp
User_001,TRJ_User_001_001,28.632005,77.219091,209.4,2026-04-02 09:00:28
User_001,TRJ_User_001_001,28.630724,77.220915,220.0,2026-04-02 09:01:17
User_001,TRJ_User_001_001,28.629248,77.222902,211.0,2026-04-02 09:01:38
User_001,TRJ_User_001_001,28.628013,77.224927,224.0,2026-04-02 09:02:15
User_001,TRJ_User_001_001,28.626858,77.226816,222.9,2026-04-02 09:02:27
User_001,TRJ_User_001_001,28.625781,77.229345,227.0,2026-04-02 09:02:54
User_001,TRJ_User_001_001,28.624297,77.231921,205.9,2026-04-02 09:03:23
User_001,TRJ_User_001_001,28.623365,77.233676,236.6,2026-04-02 09:03:40
User_001,TRJ_User_001_001,28.62245,77.235384,218.7,2026-04-02 09:03:55
User_001,TRJ_User_001_001,28.621335,77.237023,201.9,2026-04-02 09:04:22
User_001,TRJ_User_001_001,28.620179,77.239572,255.3,2026-04-02 09:04:39
User_001,TRJ_User_001_001,28.619249,77.242831,257.7,2026-04-02 09:05:09
User_001,TRJ_User_001_001,28.617414,77.244739,249.7,2026-04-02 09:05:44
User_001,TRJ_User_001_001,28.616209,77.247103,216.6,2026-04-02 09:06:22
User_001,TRJ_User_001_001,28.615198,77.249655,243.7,2026-04-02 09:07:04
User_001,TRJ_User_001_001,28.614234,77.25192,239.1,2026-04-02 09:07:41
User_001,TRJ_User_001_001,28.613122,77.254507,219.9,2026-04-02 09:08:38
User_001,TRJ_User_001_001,28.612466,77.256254,240.0,2026-04-02 09:09:31
User_001,TRJ_User_001_001,28.611556,77.258569,228.3,2026-04-02 09:10:17
User_001,TRJ_User_001_001,28.609939,77.261079,215.4,2026-04-02 09:10:53
User_001,TRJ_User_001_001,28.607647,77.263604,201.5,2026-04-02 09:11:15
User_001,TRJ_User_001_001,28.606464,77.265755,228.5,2026-04-02 09:11:56
User_001,TRJ_User_001_001,28.604907,77.26812,236.3,2026-04-02 09:12:20
User_001,TRJ_User_001_001,28.603347,77.270614,204.6,2026-04-02 09:12:51
User_001,TRJ_User_001_001,28.602221,77.273169,217.7,2026-04-02 09:13:06
User_001,TRJ_User_001_001,28.600384,77.275274,225.0,2026-04-02 09:13:26
User_001,TRJ_User_001_001,28.598831,77.277326,221.4,2026-04-02 09:14:08
User_001,TRJ_User_001_001,28.597927,77.278998,200.0,2026-04-02 09:14:30
User_001,TRJ_User_001_001,28.595621,77.281333,213.3,2026-04-02 09:15:21
User_001,TRJ_User_001_001,28.594558,77.283462,219.4,2026-04-02 09:16:02
User_001,TRJ_User_001_001,28.592478,77.286164,203.9,2026-04-02 09:16:23
User_001,TRJ_User_001_001,28.591227,77.287691,218.1,2026-04-02 09:17:21
User_001,TRJ_User_001_001,28.589957,77.290025,202.0,2026-04-02 09:18:02
User_001,TRJ_User_001_001,28.588636,77.292342,208.7,2026-04-02 09:18:55
User_001,TRJ_User_001_001,28.588179,77.293763,235.6,2026-04-02 09:19:15
User_001,TRJ_User_001_001,28.586406,77.295692,248.2,2026-04-02 09:19:29
User_001,TRJ_User_001_001,28.585724,77.298445,232.1,2026-04-02 09:20:26
User_001,TRJ_User_001_001,28.584303,77.300792,230.5,2026-04-02 09:20:51
User_001,TRJ_User_001_001,28.583099,77.302787,240.7,2026-04-02 09:21:19
User_001,TRJ_User_001_001,28.582211,77.305226,220.9,2026-04-02 09:21:35
User_001,TRJ_User_001_001,28.581181,77.307056,223.2,2026-04-02 09:22:02
User_001,TRJ_User_001_001,28.58013,77.309623,244.1,2026-04-02 09:23:01
User_001,TRJ_User_001_001,28.579212,77.311327,249.0,2026-04-02 09:23:59
User_001,TRJ_User_001_001,28.577838,77.313441,253.8,2026-04-02 09:24:45
User_001,TRJ_User_001_001,28.576536,77.31571,216.7,2026-04-02 09:25:13
User_001,TRJ_User_001_001,28.575501,77.318025,253.2,2026-04-02 09:25:55
User_001,TRJ_User_001_001,28.573985,77.320314,209.7,2026-04-02 09:26:42
User_001,TRJ_User_001_001,28.573083,77.323226,222.3,2026-04-02 09:27:16
User_001,TRJ_User_001_001,28.571909,77.324935,241.5,2026-04-02 09:27:41
User_001,TRJ_User_001_001,28.570663,77.326978,210.7,2026-04-02 09:27:58
User_001,TRJ_User_001_002,28.573119,77.331375,215.9,2026-04-02 12:12:53
User_001,TRJ_User_001_002,28.573196,77.331285,229.2,2026-04-02 12:13:10
User_001,TRJ_User_001_002,28.57363,77.331386,230.2,2026-04-02 12:13:47
User_001,TRJ_User_001_002,28.573921,77.33143,213.8,2026-04-02 12:14:44
User_001,TRJ_User_001_002,28.573443,77.331509,256.4,2026-04-02 12:15:22
User_001,TRJ_User_001_002,28.573637,77.331256,244.9,2026-04-02 12:16:08
User_001,TRJ_User_001_002,28.573538,77.331438,258.0,2026-04-02 12:16:52
User_001,TRJ_User_001_002,28.573109,77.331086,216.1,2026-04-02 12:17:04
User_001,TRJ_User_001_002,28.573145,77.330474,256.2,2026-04-02 12:17:16
User_001,TRJ_User_001_002,28.572742,77.330421,236.9,2026-04-02 12:17:47
User_001,TRJ_User_001_002,28.57217,77.330007,217.7,2026-04-02 12:18:22
User_001,TRJ_User_001_002,28.57247,77.33032,242.1,2026-04-02 12:19:19
User_001,TRJ_User_001_002,28.5717,77.330393,225.2,2026-04-02 12:20:18
User_001,TRJ_User_001_002,28.571857,77.331821,247.9,2026-04-02 12:20:28
User_001,TRJ_User_001_002,28.571741,77.331432,203.0,2026-04-02 12:21:00
User_001,TRJ_User_001_002,28.571719,77.331154,226.3,2026-04-02 12:21:31
User_001,TRJ_User_001_002,28.571305,77.330858,258.9,2026-04-02 12:22:02
User_001,TRJ_User_001_002,28.571089,77.330777,202.2,2026-04-02 12:22:17
User_001,TRJ_User_001_002,28.571182,77.329911,219.6,2026-04-02 12:22:34
User_001,TRJ_User_001_002,28.570846,77.330069,237.4,2026-04-02 12:22:47
User_001,TRJ_User_001_002,28.570641,77.33013,224.7,2026-04-02 12:23:31
User_001,TRJ_User_001_002,28.571137,77.330348,258.6,2026-04-02 12:24:22
User_001,TRJ_User_001_002,28.571506,77.329983,216.2,2026-04-02 12:24:59
User_001,TRJ_User_001_002,28.571114,77.330205,211.1,2026-04-02 12:25:31
User_001,TRJ_User_001_002,28.571777,77.32982,203.5,2026-04-02 12:25:41
User_001,TRJ_User_001_002,28.571108,77.329569,205.6,2026-04-02 12:26:15
